turn_label,turn_index,value,metric_key,block,confidence,source_url,notes
1998-S1,0,37.6250,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2013-S1,30,43.0000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2013-S2,31,45.0000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2014-S1,32,47.0000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2014-S2,33,49.0000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2015-S1,34,50.1667,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2015-S2,35,50.5000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2016-S1,36,50.8333,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2016-S2,37,51.1667,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2017-S1,38,51.5000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2017-S2,39,51.8333,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2018-S1,40,52.5000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2018-S2,41,53.5000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2019-S1,42,54.5000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2019-S2,43,55.5000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2020-S1,44,55.8750,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2020-S2,45,55.6250,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2021-S1,46,55.3750,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2021-S2,47,55.1250,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2022-S1,48,55.1250,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2022-S2,49,55.3750,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2023-S1,50,55.6250,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2023-S2,51,55.8750,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2024-S1,52,56.0000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2024-S2,53,56.0000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2025-S1,54,56.0000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2025-S2,55,56.0000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2026-S1,56,56.0000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2026-S2,57,56.0000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
