turn_label,turn_index,value,metric_key,block,confidence,source_url,notes
1998-S1,0,62.7625,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2021-S1,46,57.4375,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2021-S2,47,57.8125,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2022-S1,48,58.0625,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2022-S2,49,58.1875,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2023-S1,50,58.3125,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2023-S2,51,58.4375,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2024-S1,52,58.5250,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2024-S2,53,58.5750,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2025-S1,54,58.6250,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2025-S2,55,58.6750,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2026-S1,56,58.7000,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2026-S2,57,58.7000,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
