turn_label,turn_index,value,metric_key,block,confidence,source_url,notes
2004-S1,12,27.7500,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2004-S2,13,28.2500,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2005-S1,14,28.7917,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2005-S2,15,29.3750,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2006-S1,16,29.9583,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2006-S2,17,30.5417,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2007-S1,18,31.1250,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2007-S2,19,31.7083,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2008-S1,20,32.1250,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2008-S2,21,32.3750,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2009-S1,22,32.6250,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2009-S2,23,32.8750,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2010-S1,24,33.2125,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2010-S2,25,33.6375,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2011-S1,26,34.0625,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2011-S2,27,34.4875,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2012-S1,28,34.7667,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2012-S2,29,34.9000,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2013-S1,30,35.0333,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2013-S2,31,35.1667,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2014-S1,32,35.3000,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2014-S2,33,35.4333,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2015-S1,34,35.5917,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2015-S2,35,35.7750,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2016-S1,36,35.9583,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2016-S2,37,36.1417,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2017-S1,38,36.3250,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2017-S2,39,36.5083,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2018-S1,40,36.3750,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2018-S2,41,35.9250,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2019-S1,42,35.4750,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2019-S2,43,35.0250,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2020-S1,44,35.0625,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2020-S2,45,35.5875,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2021-S1,46,36.1125,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2021-S2,47,36.6375,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2022-S1,48,36.9625,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2022-S2,49,37.0875,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2023-S1,50,37.2125,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2023-S2,51,37.3375,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2024-S1,52,37.4125,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2024-S2,53,37.4375,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2025-S1,54,37.4625,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2025-S2,55,37.4875,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2026-S1,56,37.5000,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2026-S2,57,37.5000,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
