turn_label,turn_index,value,metric_key,block,confidence,source_url,notes
1998-S1,0,67.0875,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2008-S2,21,70.1750,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2009-S1,22,70.3050,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2009-S2,23,70.4350,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2010-S1,24,70.5500,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2010-S2,25,70.6500,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2011-S1,26,70.7500,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2011-S2,27,70.8500,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2012-S1,28,70.9500,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2012-S2,29,71.0500,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2013-S1,30,71.1500,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2013-S2,31,71.2500,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2014-S1,32,71.3500,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2014-S2,33,71.4500,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2015-S1,34,71.5917,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2015-S2,35,71.7750,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2016-S1,36,71.9583,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2016-S2,37,72.1417,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2017-S1,38,72.3250,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2017-S2,39,72.5083,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2018-S1,40,72.5250,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2018-S2,41,72.3750,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2019-S1,42,72.2250,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2019-S2,43,72.0750,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2020-S1,44,71.9625,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2020-S2,45,71.8875,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2021-S1,46,71.8125,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2021-S2,47,71.7375,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2022-S1,48,71.9250,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2022-S2,49,72.3750,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2023-S1,50,72.8250,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2023-S2,51,73.2750,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2024-S1,52,73.5625,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2024-S2,53,73.6875,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2025-S1,54,73.8125,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2025-S2,55,73.9375,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2026-S1,56,74.0000,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2026-S2,57,74.0000,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
